region;period;sector;value;unit;value_pCap;unit_pCap
DEU;2100;trn_freight;921.174187134361;billion tkm/yr;12534.0016050238;tkm/yr pCap
DEU;2100;trn_pass;1196.75973093643;billion pkm/yr;16283.7697776231;pkm/yr pCap
DEU;2100;trn_shipping_intl;1090.74591533346;billion tkm/yr;14841.2876135756;tkm/yr pCap
DEU;2110;trn_aviation_intl;242.754482429895;billion pkm/yr;3377.802417979;pkm/yr pCap
DEU;2110;trn_freight;926.822344967889;billion tkm/yr;12896.2510868305;tkm/yr pCap
DEU;2110;trn_pass;1182.28893972097;billion pkm/yr;16450.9359389177;pkm/yr pCap
DEU;2110;trn_shipping_intl;1094.05225194913;billion tkm/yr;15223.1683017279;tkm/yr pCap
DEU;2130;trn_aviation_intl;235.935865028164;billion pkm/yr;3382.78677034115;pkm/yr pCap
DEU;2130;trn_freight;933.119263002046;billion tkm/yr;13378.8201198534;tkm/yr pCap
DEU;2130;trn_pass;1162.06421403796;billion pkm/yr;16661.3729924665;pkm/yr pCap
DEU;2130;trn_shipping_intl;1097.72552276407;billion tkm/yr;15738.9016520606;tkm/yr pCap
DEU;2150;trn_aviation_intl;229.840699793259;billion pkm/yr;3386.01950000582;pkm/yr pCap
DEU;2150;trn_freight;937.678255084221;billion tkm/yr;13813.9017993876;tkm/yr pCap
DEU;2150;trn_pass;1143.06825527466;billion pkm/yr;16839.7129215107;pkm/yr pCap
DEU;2150;trn_shipping_intl;1100.37661200044;billion tkm/yr;16210.7784606262;tkm/yr pCap
ECE;1990;trn_aviation_intl;13.8110778955143;billion pkm/yr;223.938657717122;pkm/yr pCap
ECE;1990;trn_freight;367.62936378665;billion tkm/yr;5960.89797527826;tkm/yr pCap
ECE;1990;trn_pass;484.379451194896;billion pkm/yr;7853.93326624933;pkm/yr pCap
ECE;1990;trn_shipping_intl;448.359847231496;billion tkm/yr;7269.89617485868;tkm/yr pCap
ECE;2005;trn_aviation_intl;17.0941440819915;billion pkm/yr;281.776699402833;pkm/yr pCap
ECE;2005;trn_freight;335.897380368612;billion tkm/yr;5536.87009565082;tkm/yr pCap
ECE;2005;trn_pass;481.527027166768;billion pkm/yr;7937.40217337062;pkm/yr pCap
ECE;2005;trn_shipping_intl;332.595838704732;billion tkm/yr;5482.44809543093;tkm/yr pCap
ECE;2010;trn_aviation_intl;22.8328118034874;billion pkm/yr;377.808107234905;pkm/yr pCap
ECE;2010;trn_freight;446.737209027971;billion tkm/yr;7392.03479741738;tkm/yr pCap
ECE;2010;trn_pass;542.878360198609;billion pkm/yr;8982.85535266831;pkm/yr pCap
ECE;2010;trn_shipping_intl;324.533258758128;billion tkm/yr;5369.96044470774;tkm/yr pCap
ECE;2015;trn_aviation_intl;26.5979686658798;billion pkm/yr;442.163735992393;pkm/yr pCap
ECE;2015;trn_freight;492.259451513176;billion tkm/yr;8183.30455580422;tkm/yr pCap
ECE;2015;trn_pass;592.955402069317;billion pkm/yr;9857.27064909934;pkm/yr pCap
ECE;2015;trn_shipping_intl;336.409681432764;billion tkm/yr;5592.4632228452;tkm/yr pCap
ECE;2020;trn_aviation_intl;33.1013986801207;billion pkm/yr;550.949767806467;pkm/yr pCap
ECE;2020;trn_freight;571.445894343303;billion tkm/yr;9511.31962262007;tkm/yr pCap
ECE;2020;trn_pass;706.751819274468;billion pkm/yr;11763.392673794;pkm/yr pCap
ECE;2020;trn_shipping_intl;321.027085145815;billion tkm/yr;5343.27264324617;tkm/yr pCap
ECE;2025;trn_aviation_intl;46.403462615188;billion pkm/yr;822.821262994339;pkm/yr pCap
